dataset,model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std
red_wine,log_reg,0.8787990196078432,0.009425824204434864,0.6739234143069344,0.020821001324023196
wine_dataset,log_reg,0.9790640394088669,0.027713464392187602,0.9796369712159185,0.027282763728174786
red_wine,rf,0.8881740196078433,0.016662061994568714,0.7074259919701585,0.04996088145903951
wine_dataset,rf,0.9790640394088669,0.027713464392187602,0.9789226855016329,0.028548411231649046
